date,n,day-of-week,predicted-n,residual
2013-01-01,842,Tue,951.358490566038,-109.35849056603797
2013-01-02,943,Wed,962.692307692308,-19.692307692307963
2013-01-03,914,Thu,965.7500000000003,-51.75000000000034
2013-01-04,915,Fri,967.4615384615388,-52.461538461538794
2013-01-05,720,Sat,744.6153846153848,-24.615384615384755
2013-01-06,832,Sun,891.4807692307695,-59.48076923076951
2013-01-07,933,Mon,974.8076923076926,-41.807692307692605
2013-01-08,899,Tue,951.358490566038,-52.35849056603797
2013-01-09,902,Wed,962.692307692308,-60.69230769230796
2013-01-10,932,Thu,965.7500000000003,-33.75000000000034
2013-01-11,930,Fri,967.4615384615388,-37.461538461538794
2013-01-12,690,Sat,744.6153846153848,-54.615384615384755
2013-01-13,828,Sun,891.4807692307695,-63.48076923076951
2013-01-14,928,Mon,974.8076923076926,-46.807692307692605
2013-01-15,894,Tue,951.358490566038,-57.35849056603797
2013-01-16,901,Wed,962.692307692308,-61.69230769230796
2013-01-17,927,Thu,965.7500000000003,-38.75000000000034
2013-01-18,924,Fri,967.4615384615388,-43.461538461538794
2013-01-19,674,Sat,744.6153846153848,-70.61538461538476
2013-01-20,786,Sun,891.4807692307695,-105.48076923076951
2013-01-21,912,Mon,974.8076923076926,-62.807692307692605
2013-01-22,890,Tue,951.358490566038,-61.35849056603797
2013-01-23,897,Wed,962.692307692308,-65.69230769230796
2013-01-24,925,Thu,965.7500000000003,-40.75000000000034
2013-01-25,922,Fri,967.4615384615388,-45.461538461538794
2013-01-26,680,Sat,744.6153846153848,-64.61538461538476
2013-01-27,823,Sun,891.4807692307695,-68.48076923076951
2013-01-28,923,Mon,974.8076923076926,-51.807692307692605
2013-01-29,890,Tue,951.358490566038,-61.35849056603797
2013-01-30,900,Wed,962.692307692308,-62.69230769230796
2013-01-31,928,Thu,965.7500000000003,-37.75000000000034
2013-10-01,965,Tue,951.358490566038,13.641509433962028
2013-10-02,975,Wed,962.692307692308,12.307692307692037
2013-10-03,995,Thu,965.7500000000003,29.24999999999966
2013-10-04,995,Fri,967.4615384615388,27.538461538461206
2013-10-05,687,Sat,744.6153846153848,-57.615384615384755
2013-10-06,917,Sun,891.4807692307695,25.51923076923049
2013-10-07,994,Mon,974.8076923076926,19.192307692307395
2013-10-08,964,Tue,951.358490566038,12.641509433962028
2013-10-09,974,Wed,962.692307692308,11.307692307692037
2013-10-10,994,Thu,965.7500000000003,28.24999999999966
2013-10-11,991,Fri,967.4615384615388,23.538461538461206
2013-10-12,676,Sat,744.6153846153848,-68.61538461538476
2013-10-13,902,Sun,891.4807692307695,10.51923076923049
2013-10-14,987,Mon,974.8076923076926,12.192307692307395
2013-10-15,963,Tue,951.358490566038,11.641509433962028
2013-10-16,974,Wed,962.692307692308,11.307692307692037
2013-10-17,995,Thu,965.7500000000003,29.24999999999966
2013-10-18,993,Fri,967.4615384615388,25.538461538461206
2013-10-19,684,Sat,744.6153846153848,-60.615384615384755
2013-10-20,915,Sun,891.4807692307695,23.51923076923049
2013-10-21,991,Mon,974.8076923076926,16.192307692307395
2013-10-22,964,Tue,951.358490566038,12.641509433962028
2013-10-23,975,Wed,962.692307692308,12.307692307692037
2013-10-24,992,Thu,965.7500000000003,26.24999999999966
2013-10-25,989,Fri,967.4615384615388,21.538461538461206
2013-10-26,685,Sat,744.6153846153848,-59.615384615384755
2013-10-27,910,Sun,891.4807692307695,18.51923076923049
2013-10-28,983,Mon,974.8076923076926,8.192307692307395
2013-10-29,965,Tue,951.358490566038,13.641509433962028
2013-10-30,973,Wed,962.692307692308,10.307692307692037
2013-10-31,922,Thu,965.7500000000003,-43.75000000000034
2013-11-01,986,Fri,967.4615384615388,18.538461538461206
2013-11-02,689,Sat,744.6153846153848,-55.615384615384755
2013-11-03,902,Sun,891.4807692307695,10.51923076923049
2013-11-04,978,Mon,974.8076923076926,3.192307692307395
2013-11-05,967,Tue,951.358490566038,15.641509433962028
2013-11-06,973,Wed,962.692307692308,10.307692307692037
2013-11-07,991,Thu,965.7500000000003,25.24999999999966
2013-11-08,986,Fri,967.4615384615388,18.538461538461206
2013-11-09,715,Sat,744.6153846153848,-29.615384615384755
2013-11-10,895,Sun,891.4807692307695,3.5192307692304894
2013-11-11,983,Mon,974.8076923076926,8.192307692307395
2013-11-12,973,Tue,951.358490566038,21.641509433962028
2013-11-13,976,Wed,962.692307692308,13.307692307692037
2013-11-14,988,Thu,965.7500000000003,22.24999999999966
2013-11-15,985,Fri,967.4615384615388,17.538461538461206
2013-11-16,714,Sat,744.6153846153848,-30.615384615384755
2013-11-17,896,Sun,891.4807692307695,4.519230769230489
2013-11-18,985,Mon,974.8076923076926,10.192307692307395
2013-11-19,973,Tue,951.358490566038,21.641509433962028
2013-11-20,977,Wed,962.692307692308,14.307692307692037
2013-11-21,1000,Thu,965.7500000000003,34.24999999999966
2013-11-22,999,Fri,967.4615384615388,31.538461538461206
2013-11-23,744,Sat,744.6153846153848,-0.6153846153847553
2013-11-24,896,Sun,891.4807692307695,4.519230769230489
2013-11-25,942,Mon,974.8076923076926,-32.807692307692605
2013-11-26,989,Tue,951.358490566038,37.64150943396203
2013-11-27,1014,Wed,962.692307692308,51.30769230769204
2013-11-28,634,Thu,965.7500000000003,-331.75000000000034
2013-11-29,661,Fri,967.4615384615388,-306.4615384615388
2013-11-30,857,Sat,744.6153846153848,112.38461538461524
2013-12-01,987,Sun,891.4807692307695,95.51923076923049
2013-12-02,1004,Mon,974.8076923076926,29.192307692307395
2013-12-03,973,Tue,951.358490566038,21.641509433962028
2013-12-04,958,Wed,962.692307692308,-4.692307692307963
2013-12-05,969,Thu,965.7500000000003,3.249999999999659
2013-12-06,970,Fri,967.4615384615388,2.538461538461206
2013-12-07,691,Sat,744.6153846153848,-53.615384615384755
2013-12-08,875,Sun,891.4807692307695,-16.48076923076951
2013-12-09,962,Mon,974.8076923076926,-12.807692307692605
2013-12-10,943,Tue,951.358490566038,-8.358490566037972
2013-12-11,954,Wed,962.692307692308,-8.692307692307963
2013-12-12,968,Thu,965.7500000000003,2.249999999999659
2013-12-13,970,Fri,967.4615384615388,2.538461538461206
2013-12-14,692,Sat,744.6153846153848,-52.615384615384755
2013-12-15,880,Sun,891.4807692307695,-11.48076923076951
2013-12-16,964,Mon,974.8076923076926,-10.807692307692605
2013-12-17,949,Tue,951.358490566038,-2.358490566037972
2013-12-18,956,Wed,962.692307692308,-6.692307692307963
2013-12-19,974,Thu,965.7500000000003,8.249999999999659
2013-12-20,980,Fri,967.4615384615388,12.538461538461206
2013-12-21,811,Sat,744.6153846153848,66.38461538461524
2013-12-22,895,Sun,891.4807692307695,3.5192307692304894
2013-12-23,985,Mon,974.8076923076926,10.192307692307395
2013-12-24,761,Tue,951.358490566038,-190.35849056603797
2013-12-25,719,Wed,962.692307692308,-243.69230769230796
2013-12-26,936,Thu,965.7500000000003,-29.75000000000034
2013-12-27,963,Fri,967.4615384615388,-4.461538461538794
2013-12-28,814,Sat,744.6153846153848,69.38461538461524
2013-12-29,888,Sun,891.4807692307695,-3.4807692307695106
2013-12-30,968,Mon,974.8076923076926,-6.807692307692605
2013-12-31,776,Tue,951.358490566038,-175.35849056603797
2013-02-01,926,Fri,967.4615384615388,-41.461538461538794
2013-02-02,682,Sat,744.6153846153848,-62.615384615384755
2013-02-03,814,Sun,891.4807692307695,-77.48076923076951
2013-02-04,932,Mon,974.8076923076926,-42.807692307692605
2013-02-05,896,Tue,951.358490566038,-55.35849056603797
2013-02-06,901,Wed,962.692307692308,-61.69230769230796
2013-02-07,932,Thu,965.7500000000003,-33.75000000000034
2013-02-08,930,Fri,967.4615384615388,-37.461538461538794
2013-02-09,684,Sat,744.6153846153848,-60.615384615384755
2013-02-10,829,Sun,891.4807692307695,-62.48076923076951
2013-02-11,929,Mon,974.8076923076926,-45.807692307692605
2013-02-12,893,Tue,951.358490566038,-58.35849056603797
2013-02-13,918,Wed,962.692307692308,-44.69230769230796
2013-02-14,956,Thu,965.7500000000003,-9.750000000000341
2013-02-15,954,Fri,967.4615384615388,-13.461538461538794
2013-02-16,738,Sat,744.6153846153848,-6.615384615384755
2013-02-17,848,Sun,891.4807692307695,-43.48076923076951
2013-02-18,948,Mon,974.8076923076926,-26.807692307692605
2013-02-19,943,Tue,951.358490566038,-8.358490566037972
2013-02-20,949,Wed,962.692307692308,-13.692307692307963
2013-02-21,961,Thu,965.7500000000003,-4.750000000000341
2013-02-22,957,Fri,967.4615384615388,-10.461538461538794
2013-02-23,743,Sat,744.6153846153848,-1.6153846153847553
2013-02-24,880,Sun,891.4807692307695,-11.48076923076951
2013-02-25,961,Mon,974.8076923076926,-13.807692307692605
2013-02-26,938,Tue,951.358490566038,-13.358490566037972
2013-02-27,945,Wed,962.692307692308,-17.692307692307963
2013-02-28,964,Thu,965.7500000000003,-1.750000000000341
2013-03-01,958,Fri,967.4615384615388,-9.461538461538794
2013-03-02,765,Sat,744.6153846153848,20.384615384615245
2013-03-03,913,Sun,891.4807692307695,21.51923076923049
2013-03-04,977,Mon,974.8076923076926,2.192307692307395
2013-03-05,965,Tue,951.358490566038,13.641509433962028
2013-03-06,972,Wed,962.692307692308,9.307692307692037
2013-03-07,980,Thu,965.7500000000003,14.249999999999659
2013-03-08,979,Fri,967.4615384615388,11.538461538461206
2013-03-09,765,Sat,744.6153846153848,20.384615384615245
2013-03-10,908,Sun,891.4807692307695,16.51923076923049
